timestamp,open,high,low,close,tick_volume,spread,real_volume
2026.01.05 00:00,2640.10,2640.80,2639.90,2640.50,120,18,0
2026.01.05 00:01,2640.50,2641.10,2640.30,2640.90,130,17,0
2026.01.05 00:02,2640.90,2641.30,2640.60,2641.20,150,16,0
2026.01.05 00:03,2641.20,2641.40,2640.70,2640.80,110,19,0
2026.01.05 00:04,2640.80,2641.00,2640.20,2640.40,105,20,0
2026.01.05 00:05,2640.40,2640.90,2640.10,2640.70,115,18,0
2026.01.05 00:06,2640.70,2641.20,2640.50,2641.00,125,17,0
2026.01.05 00:07,2641.00,2641.60,2640.90,2641.50,140,16,0
2026.01.05 00:08,2641.50,2641.80,2641.10,2641.30,135,17,0
2026.01.05 00:09,2641.30,2641.70,2641.00,2641.60,145,16,0
